DATE,BRCA06M647NCEN
2015-04-01,4415987
2015-05-01,4421016
2015-06-01,4429146
2015-07-01,4433744
2015-08-01,4441949
2015-09-01,4442010
2015-10-01,4436189
2015-11-01,4423656
2015-12-01,4416807
2016-01-01,4384491
2016-02-01,4354226
2016-03-01,4378063
2016-04-01,4319732
2016-05-01,4302479
2016-06-01,4287282
2016-07-01,4257428
2016-08-01,4267498
2016-09-01,4252654
2016-10-01,4230399
2016-11-01,4228297
2016-12-01,4194962
2017-01-01,4165897
2017-02-01,4126328
2017-03-01,4117613
2017-04-01,4071767
2017-05-01,4058708
2017-06-01,4048374
2017-07-01,4021166
2017-08-01,4040968
2017-09-01,4040313
2017-10-01,4041711
2017-11-01,4025040
2017-12-01,4025533
2018-01-01,4003826
2018-02-01,3969931
2018-03-01,3980048
2018-04-01,3938934
2018-05-01,3922366
2018-06-01,3894395
2018-07-01,3871003
2018-08-01,3875364
2018-09-01,3846268
2018-10-01,3830650
2018-11-01,3795514
2018-12-01,3773446
2019-01-01,3737633
2019-02-01,3685682
2019-03-01,3677090
2019-04-01,3623654
2019-05-01,3636313
2019-06-01,3775793
2019-07-01,3914962
2019-08-01,3987750
2019-09-01,4004917
2019-10-01,4040645
2019-11-01,4042531
2019-12-01,4059554
2020-01-01,4043672
2020-02-01,4031055
2020-03-01,4041711
2020-04-01,4451007
2020-05-01,4637893
2020-06-01,4775267
2020-07-01,4564117
2020-08-01,4519289
2020-09-01,4537280
2020-10-01,4375694
2020-11-01,4245238
2020-12-01,4234649
2021-01-01,4368759
2021-02-01,4451404
2021-03-01,4309750
2021-04-01,4291627
2021-05-01,4259446
2021-06-01,4237518
